CODE	NAME	COUNT	SOURCE
1312970	Raaseporin_kaupunki	23345	PTV
1031669	Hangon_kaupunki	22839	PTV
1360825	Pargas_stad	22456	PTV
1793778	Kokkolan_kaupunki	20777	PTV
1901003	Taivalkosken_kunta	19665	PTV
1865532	Limingan_kunta	19323	PTV
2030262	Kauniaisten_kaupunki	18129	PTV
27715014	Työterveys_Virta_Oy	17598	MANUAL
2165095	Kristiinankaupungin_kaupunki	17185	PTV
27911111	Lappica_Oy	16462	PRH
2037624	Huittisten_kaupunki	16406	PTV
1746664	Kylän_Kattaus	16025	PTV
2108269	Ylitornion_kunta	15924	PTV
1651163	Mikkelin_kaupungin_vesiliikelaitos	15439	PTV
1311564	Siuntion_kunta	14991	PTV
1931691	Pohjois-_ja_Itä-Lapin_työvoimapalvelut	14950	PTV
2096026	Vaasan_kaupunki	13852	PTV
1890199	Siikalatvan_kunta	13711	PTV
90001620	Askolan_kunta	13033	PTV
1937292	Pellon_kunta	12374	PTV
31175524	Kruunuhaan_Lääkärikeskus_Oy	12330	PRH
1914066	Tunturi-Lapin_ja_Pellon_työllisyysalue	11693	PTV
26174551	Pihlajalinna_Oyj	10724	PRH
1458013	Hattulan_kunta	9981	PTV
21261066	ISLAB_hyvinvointiyhtymä	9675	PTV
2104698	Keminmaan_kunta	9218	PTV
1919086	Posion_kunta	9182	PTV
1399375	Säkylän_kunta	8197	PTV
29214782	Imatran_Työterveys_Oy	8135	PRH
1907587	Inarin_kunta	7498	PTV
1917179	Kemijärven_kaupunki	7435	PTV
29953964	TT_Botnia_Oy	7340	PRH
1246109	Vantaan_kaupunki	6994	PTV
1578672	Mänttä-Vilppulan_kaupunki	6970	PTV
26742846	Kolmostien_Terveys_Oy	6868	PRH
1890818	Puolangan_kunta	6834	PTV
91294664	Utsjoen_kunta	6710	PTV
