harmonization_omop::OMOP_ID	THRESHOLD	SIDE	UNIT	QC_NOTES	MISC	conceptName
3015399	NA	NA	mg/l	NA	NA	Transferrin receptor.soluble [Mass/volume] in Serum or Plasma
3015916	NA	NA	u/ml	NA	NA	Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma
3016038	NA	NA	mmol/l	NA	NA	Potassium [Moles/volume] in Urine
3016228	NA	NA	%	NA	NA	CD19 cells/100 cells in Blood
3016244	NA	NA	mu/l	NA	NA	Insulin [Units/volume] in Serum or Plasma
3016293	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] in Serum or Plasma
3016407	NA	NA	g/l	NA	NA	Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay
3016417	NA	NA	u/l	NA	NA	Amylase.pancreatic [Enzymatic activity/volume] in Serum or Plasma
3016436	NA	NA	u/l	NA	NA	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma
3016543	NA	NA	e6/l	NA	NA	Leukocytes [#/volume] in Cerebral spinal fluid
3016616	NA	NA	umol/l	NA	NA	Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma
3016701	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Serum or Plasma --2 hours post dose glucose
3016724	NA	NA	umol/l	NA	NA	Homocysteine [Moles/volume] in Serum or Plasma
3017181	NA	NA	%	NA	NA	Myelocytes/100 leukocytes in Blood
3017315	NA	NA	u/l	NA	NA	Amylase [Enzymatic activity/volume] in Urine
3017354	NA	NA	%	NA	NA	Segmented neutrophils/100 leukocytes in Blood
3017446	NA	NA	nmol/l	NA	NA	Testosterone [Moles/volume] in Serum or Plasma
3017569	NA	NA	%	NA	NA	Oxygen content in Arterial blood
3017732	NA	NA	e9/l	NA	NA	Neutrophils [#/volume] in Blood
3017817	NA	NA	mg	NA	NA	Protein [Mass] in Urine collected for unspecified duration
3018010	NA	NA	%	NA	NA	Neutrophils/100 leukocytes in Blood
3018095	NA	NA	e6/l	NA	NA	Leukocytes [#/volume] in Urine
3018171	NA	NA	u/l	NA	NA	Choriogonadotropin [Units/volume] in Serum or Plasma
3018301	NA	NA	pmol/l	NA	NA	Testosterone Free [Moles/volume] in Serum or Plasma
3018387	NA	NA	au/ml	NA	NA	Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum
3018572	NA	NA	mmol/l	NA	NA	Chloride [Moles/volume] in Blood
3018677	NA	NA	s	NA	NA	aPTT in Platelet poor plasma by Coagulation assay
3018980	NA	NA	umol/l	NA	NA	carBAMazepine [Moles/volume] in Serum or Plasma
3019069	NA	NA	%	NA	NA	Monocytes/100 leukocytes in Blood
3019145	NA	NA	ug/l	NA	NA	Choriogonadotropin.beta subunit free [Mass/volume] in Serum or Plasma
3019198	NA	NA	e9/l	NA	NA	Lymphocytes [#/volume] in Blood
3019225	NA	NA	ph	NA	NA	pH of Specimen
3019230	NA	NA	%	NA	NA	Fractional oxyhemoglobin in Venous blood
