MEASUREMENT_FREE_TEXT	extracted::IS_POS	COUNT	ratio_COUNT	Npeople	ratio_Npeople	NOTES																			
Tutkimuksen tulos: gluk neg keto neg suht.tiheys 1.020 veri neg ph 5 prot neg nitr neg leuk neg	0	193	1	183	1	NA																			
ChtrNhO:: NEGATIIVINEN; GcNhO:: NEGATIIVINEN	0	192	1	150	1	NA																			
negat Indeksi	0	191	1	186	1	check testID --> OK																			
VILJELY: NEGATIIVINEN; HERKKYYS::	0	180	1	161	1	!! WARNING: NEW ENTRY !!																			
Resultat: NEGAT Titteri	0	177	1	114	1	NA																			
Vastaus: NEG Lomake	0	175	1	120	1	NA																			
Resultat: pos Lomake	1	174	1	116	1	NA																			
NEGAT AU/ml	0	173	1	120	1	NA																			
Negat. Näytteessä ei todeta M.pneumoniae -bakteerin DNA:ta. Ei viitettä infektiosta.	0	172	1	171	1	!! WARNING: NEW ENTRY !!																			
POS*	1	172	1	126	1	NA																			
Tehty NEGAT NhO tulosNäytteestä ei ole tehty viljelyä. Tutkimukseen sisältyvät Campylobacter spp,Salmonella spp., Shigella spp., Yersinia enterocolitica, EHEC, Aeromonas spp.,Vibrio spp., Clostridium difficile toxin B, hypervirulentti Clostridium difficile ja vain NhO-tutkimuksella todettavissa olevat ripulia aiheuttavat E.colit (ETEC, EPEC, EIEC, EAEC).Provet är inte odlat. I analysen ingår Campylobacter spp,Salmonella spp, Shigella spp, Yersinia entercolitica, EHEC, Aeromonas spp,Vibrio spp, Clostridium difficile toxin B, hypervirulenta Clostridium difficileoch endast med NhO-tekniken fastställbara E.colin vilka orsakar diarre (ETEC, EPEC, EIEC, EAEC).	0	172	1	172	1	!! WARNING: NEW ENTRY !!																			
negativ	0	165	1	131	1	NA																			
Resultat: Negat	0	165	1	37	1	NA																			
Tutkimuksen tulos: F -SalmVi Negatiivinen  F -ShigVi Negatiivinen  F -YersVi Negatiivinen  F -CampVi Negatiivinen	0	164	1	161	1	NA																			
posit***	1	163	1	94	1	NA																			
Ottotapa: KS^KeskisuihkuRakkoaika: 3Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	162	1	139	1	!! WARNING: NEW ENTRY !!																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV: alle 4 h	0	161	1	146	1	NA																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV:aamu/&gt;4hMIKSI NÄYTE ON OTETTU?: kontr	0	160	1	45	1	!! WARNING: NEW ENTRY !!																			
Resultat: negativ	0	159	1	97	1	NA																			
NEG.	0	159	1	71	1	NA																			
POS IU/ml	0	158	1	66	1	NA																			
neg Lopullinen vastaus	0	157	1	25	1	NA																			
POSIT:	1	156	1	122	1	NA																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.	NA	155	1	139	1	NA																			
NEGAT kopiota/ml	0	153	1	29	1	NA																			
Tutkimuksen tulos: Negat l	0	153	1	85	1	NA																			
nega	0	151	1	67	1	NA																			
posit EIU	1	148	1	146	1	NA																			
-negatiivinen	0	146	1	132	1	NA																			
Negat.Tulkinta/viitearvot,Negat.	0	144	1	24	1	NA																			
- negatiivinen	0	144	1	122	1	NA																			
Tutkimuksen tulos: Negat. U ml	0	144	1	95	1	NA																			
Tehty NegatiivinenTutkimus sisältää osatutkimukset F -CampVi, F -SalmVi, F -ShigVi ja F -YersVi.Analysen innehåller delanalyserna F -CampVi, F -SalmVi, F -ShigVi ja F -YersVi.	0	142	1	142	1	NA																			
Vasta-aineet natiivia DNA:ta kohtaan negatiiviset.	0	142	1	122	1	NA																			
Neisseria gonorrhoeae negatiivinenChlamydia trachomatis negatiivinenNäytteen laatu:NIELUERITE	0	141	1	123	1	NA																			
Resultat: positiv	1	138	1	77	1	NA																			
Ottotapa: KeskisuihkuRakkoaika: 4Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	135	1	126	1	NA																			
Ottotapa: KS^KeskisuihkuBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	135	1	132	1	NA																			
Vastaus: Neg.	0	134	1	21	1	NA																			
Tutkimuksen tulos: Negat. Titteri	0	132	1	131	1	NA																			
Tutkimuksen tulos: NEG Lomake	NA	131	1	57	1	NA																			
Tehty; NEGATIIVINEN; EI AEROBISTA KASVUA; EI ANAEROBIKASVUA	0	131	1.065	100	1.053	NA																			
VILJELY:: NEGATIIVINEN; HERKKYYS::	0	130	1	109	1	NA																			
Tutkimuksen tulos: Posit	1	130	1	100	1	NA																			
negat kopiota/ml	0	128	1	26	1	NA																			
Ottotapa: KS^KeskisuihkuRakkoaika: 2Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	124	1	115	1	NA																			
Tutkimuksen tulos: Negatiivinen.	0	123	1	113	1	NA																			
HPV 16 - NegatiivinenHPV 18 - NegatiivinenMuut korkean riskin HPV-tyypit(31,33,35,39,45,51,52,56,58,59,66,68) -NegatiivinenOttokohta: cervixOttokohta:cervix	NA	122	1	116	1	NA																			
Provresultat: negat	0	121	1	27	1	NA																			
Tehty----- LOPULLINEN VASTAUS -----1. LÖYDÖS: (Viljely) NEGATIIVINEN----- LOPULLINEN VASTAUS -----	0	121	1	112	1	NA																			
Tutkimuksen tulos: F -Madonmunat Toukat: Negat.Alkuel.kystat: Negat.	0	120	1	49	1	package test result																			
Värjäys: VÄRJÄYSTULOS NEGATNEGATIIVINEN	NA	119	1	60	1	NA																			
ENA vasta-aineseulonta (RNP,Sm,SSA,SSB,Jo1,Scl70,Cent) negatiivinenSpesifisiä vasta-aineita ei määritetä.	NA	118	1	99	1	NA																			
Negativ	0	117	1	65	1	NA																			
-negat	0	117	1	109	1	NA																			
NhO:: NEGATIIVINEN	0	116	1	94	1	NA																			
Provresultat: Neg Lomake	NA	111	1	97	1	NA																			
NEG Lopullinen vastaus SARS-CoV-2-nukleiinihappo-osoitus negatiivinen.	0	110	1	101	1	NA																			
Tutkimuksen tulos: gluk neg keto neg suht.tiheys 1.025 veri neg ph 5 prot neg nitr neg leuk neg	0	110	1	104	1	NA																			
LÖYDÖS: (Värjäys) Värjäystulos negat1. LÖYDÖS: Negatiivinen	0	110	1	68	1	NA																			
VÄRJÄYS:: NEGATIIVINEN; VILJELY:: NEGATIIVINEN	0	110	1	57	1	NA																			
Tehty NEGAT NhO tulosNäytteestä ei ole tehty viljelyä.Tutkimukseen sisältyvät Campylobacter spp,Salmonella spp., Shigella spp., Yersiniaenterocolitica, EHEC, Aeromonas spp.,Vibrio spp., Clostridium difficile toxin B,hypervirulentti Clostridium difficile ja vain NhO-tutkimuksella todettavissa olevat ripuliaaiheuttavat E.colit (ETEC, EPEC, EIEC, EAEC).	0	109	1	109	1	NA																			
+(pos)*	1	109	1	104	1	NA																			
S-HCVAb-O negatiivinen. P-HCVNhJt-tutkimusta ei tehdä.	0	109	1	97	1	NA																			
lopull.neg	0	108	1	98	1	NA																			
+++(pos)	1	107	1	104	1	NA																			
pos Arvio	1	107	1	90	1	NA																			
